id,title,description,min_level,section,image,section_image
1,What MLOps Actually Solves,The gap between a model that works in a notebook and one that works reliably in production.,1,Foundations,unit1.png,
2,The ML Lifecycle Loop,"Train, validate, deploy, monitor, and retrain as a continuous loop.",1,Foundations,unit2.png,
3,Reproducibility Fundamentals,"Why an ML result depends on data plus code plus environment plus randomness, not just code.",1,Foundations,unit3.png,
4,Data Versioning,Tracking exact training data alongside code so a result can be reproduced later.,1,Foundations,unit4.png,
5,Experiment Tracking Fundamentals,"Why runs, params, and metrics need a real system once experiments outgrow a spreadsheet.",2,Tracking & Registry,unit5.png,
6,MLflow Tracking,Logging and comparing runs with the most widely used open-source tracking tool.,2,Tracking & Registry,unit6.png,
7,Weights & Biases,"A hosted alternative to MLflow's tracking piece, built around sweeps and dashboards.",2,Tracking & Registry,unit7.png,
8,Model Registry & Lifecycle Stages,"Why a registry beats a saved file: staging, production, archived, and aliases.",2,Tracking & Registry,unit8.png,
9,Feature Store Fundamentals,Offline vs. online stores and why training-serving skew happens without one.,3,Data & Features,unit9.png,
10,Feast in Practice,A concrete open-source feature store implementing those fundamentals.,3,Data & Features,unit10.png,
11,Pipeline Orchestration Fundamentals,Why a chain of manual scripts breaks down as an ML pipeline grows.,3,Data & Features,unit11.png,
12,Kubeflow Pipelines,Running ML-specific orchestration on Kubernetes.,4,Pipelines & CI,unit12.png,
13,Airflow and Prefect for ML,General-purpose orchestrators applied to ML pipelines.,4,Pipelines & CI,unit13.png,
14,CI for ML: Data and Model Quality Gates,What blocks a merge or promotion beyond a normal test suite.,4,Pipelines & CI,unit14.png,
15,Continuous Training and Retraining Triggers,"Scheduled and drift-triggered retraining, and champion/challenger comparison.",4,Pipelines & CI,unit15.png,
16,Packaging a Model for Deployment,What's specific to packaging model weights and inference code versus a normal app.,5,Serving & Rollout,unit16.png,
17,Model Serving Patterns,"Batch, online, and streaming inference, and picking the right one.",5,Serving & Rollout,unit17.png,
18,Model Serving Tools,Concrete serving frameworks implementing those patterns.,5,Serving & Rollout,unit18.png,
19,Safe Rollouts: Canary and Shadow Deployment,Comparing a new model version against the live one before fully switching over.,5,Serving & Rollout,unit19.png,
20,Monitoring ML Systems in Production,"What's specifically ML about production monitoring, beyond latency and errors.",6,Monitoring & Governance,unit20.png,
21,Data Drift and Concept Drift,Detecting when inputs or the input-output relationship have shifted.,6,Monitoring & Governance,unit21.png,
22,Testing ML Systems,"Data validation and model behavioral tests, beyond a normal unit-test suite.",6,Monitoring & Governance,unit22.png,
23,Model Governance and Model Cards,"Documentation, approval workflows, and fairness checks before shipping.",6,Monitoring & Governance,unit23.png,
24,LLMOps: What Changes for Large Language Models,"How prompt versioning, RAG evaluation, and token cost change everything taught so far.",6,Monitoring & Governance,unit24.png,
