term,definition,link,introduced_by_card_id
MLOps,"MLOps (machine learning operations) is the set of practices and tools that keep a model working reliably after it leaves the notebook — versioning data and code, tracking experiments, automating deployment, and monitoring behavior once it's live, instead of treating 'it worked once' as the finish line.",,2
ML lifecycle,"The ML lifecycle is the repeating loop a model goes through for as long as it's in use: train it, validate it, deploy it, monitor how it behaves on real traffic, and retrain it when things drift — then start the loop again, rather than treating the project as done after one deployment.",,9
reproducibility,"Reproducibility is being able to get the same result from an ML experiment again later, which takes more than just keeping the same code — the exact training data, the exact library/environment versions, and the random seed all have to match too, or the numbers can quietly shift.",,18
random seed,"A random seed is a starting number that makes a program's 'random' choices (like shuffling data or initializing a model's weights) come out the same way every time it runs, which is why fixing the seed is one of the requirements for reproducing a training result exactly.",,19
data versioning,"Data versioning means snapshotting a training dataset the same way version control snapshots code, so you can go back and retrieve the exact rows a model was actually trained on months later — without it, a dataset can quietly change underneath you and old results become impossible to reproduce.",,27
DVC,"DVC (Data Version Control) is a popular open-source tool that versions large datasets and model files alongside your git repository, so a git commit can point to the exact dataset snapshot that produced a given result.",https://dvc.org/,28
hyperparameter,A hyperparameter is a setting you choose before training starts — like the learning rate or batch size — as opposed to a value the model learns on its own from data; experiment trackers log these so you know exactly what produced each result.,,121
MLflow,"MLflow is a widely used open-source platform for managing the ML lifecycle, with a Tracking component (logging runs), a Model Registry, and packaging tools — most teams encounter it first through MLflow Tracking.",https://mlflow.org/,45
MLflow Tracking,"MLflow Tracking is the part of MLflow that logs each training attempt as a 'run' — recording its parameters, metrics, and output files — and gives you a web UI to browse and compare runs afterward, for example by calling mlflow.log_param() and mlflow.log_metric() inside a training script.",,45
run,"In experiment tracking, a run is one recorded attempt at training a model — a single execution with its own logged parameters, metrics, and artifacts — which is what lets you line up dozens of attempts side by side and see which one actually worked best.",,27
artifact,"In experiment tracking, an artifact is any output file a training run saves and logs alongside its parameters and metrics — a trained model file, a plot, or a report — so that specific run's full output is still there to look at later.",,295
Weights & Biases,"Weights & Biases (usually shortened to W&B) is a hosted experiment-tracking tool similar to MLflow, best known for two extras: sweeps for automated hyperparameter search and shareable web dashboards for comparing runs.",https://wandb.ai/,121
sweep,"A sweep is W&B's automated hyperparameter search: instead of you manually trying a learning rate, then another, then another, you tell it what to vary and it launches a whole batch of training runs on its own, then shows you which combination scored best.",,122
model registry,"A model registry is a central catalog of trained model versions, each with metadata and a lifecycle stage attached, so a team can find, promote, or roll back a specific model version instead of hunting through saved files on someone's laptop.",,129
lifecycle stage,"A lifecycle stage is a label on a model version in a registry — commonly Staging (being tested), Production (serving real traffic), or Archived (retired) — that tells everyone at a glance what that version is currently used for.",,130
feature store,"A feature store is a shared system that computes and stores the input features models use, split into an offline store (for training) and an online store (for live predictions), so both places compute the same feature the same way.",,138
offline store,"The offline store is the half of a feature store built for training: it holds large batches of historical feature values, optimized for scanning lots of data rather than answering instantly.",,138
online store,The online store is the half of a feature store built for live predictions: it holds the latest feature values and is optimized to answer a single lookup in milliseconds.,,138
training-serving skew,Training-serving skew is when the features a model saw during training don't quite match the features it sees in production — often because two separate pieces of code compute the same feature slightly differently — which quietly hurts accuracy without any obvious error.,,138
Feast,"Feast is a popular open-source feature store: real software that implements the offline/online store split, letting a team define features once in code and serve them consistently to both training jobs and live models.",https://feast.dev/,146
FeatureView,"A FeatureView is Feast's way of grouping a set of related features that come from the same underlying data source, so they can be defined, versioned, and served together as one unit instead of one at a time.",,146
DAG,"A DAG (directed acyclic graph) is the shape most pipeline tools use to describe a workflow: steps connected by arrows showing what depends on what, with no loops allowed — once you finish step C you can never route back into step A.",https://en.wikipedia.org/wiki/Directed_acyclic_graph,154
Kubeflow Pipelines,"Kubeflow Pipelines is an orchestration tool purpose-built for ML that runs on Kubernetes, where each pipeline step (called a component) executes inside its own container so different steps can use different dependencies and run on different machines.",https://www.kubeflow.org/docs/components/pipelines/,163
component,"In Kubeflow Pipelines, a component is one packaged, reusable step of a pipeline (like 'preprocess' or 'train'), bundled with its own code and dependencies into a container.",,164
Airflow,Apache Airflow is a widely used open-source tool for scheduling and running pipelines defined as DAGs — it's general-purpose (not built specifically for ML) but gets used heavily to orchestrate training and data pipelines.,https://airflow.apache.org/,242
Prefect,"Prefect is an open-source pipeline orchestrator, like Airflow, but built around writing flows as plain Python functions that can branch and change at runtime instead of a fixed DAG defined upfront.",https://www.prefect.io/,247
quality gate,"A quality gate is a check built into a CI pipeline that can block a merge or a promotion if something doesn't meet a bar — in ML, that includes checks on the data and the model, not just the code.",,260
data validation,"Data validation is the practice of automatically checking incoming or training data against expected rules — like a schema, value ranges, or a missing-value limit — before it's trusted for training or serving.",,271
